END TIME,,Cosmological Era,Cosmological Epoch,Stellar Period,Geological Eon,Geological Era,Geological Period,Geological Epoch,Geological Age,Archaeological/Historical Period,,COMPLEXIFICATION EVENTS,SUPERCONTINENTS
10^-43s (after BIG BANG),,Primordial,Planck,,,,,,,,,[BIG BANG],
10^-36s,,,Grand Unification,,,,,,,,,,
10^-32s,,,Inflationary,,,,,,,,,,
10^-12s,,,Electroweak,,,,,,,,,,
10^-6s,,,Quark,,,,,,,,,,
1s,,,Hadron,,,,,,,,,,
10s,,,Lepton,,,,,,,,,,
"380,000y",,,Proton,,,,,,,,,,
,,Stelliferous,Recombination,,,,,,,,,,
150My,,,Dark Ages,,,,,,,,,,
13Bya (before today),,,Star Formation (Reionization),Cosmic Dawn,,,,,,,,,
10Bya,,,,Cosmic Morning,,,,,,,,,
9Bya,,,,COSMIC NOON,,,,,,,,,
,,,,Cosmic Afternoon,,,,,,,,,
4.031Bya,,,,,Hadean,,,,,,,,
3.6Bya,,,,,Archean,Eoarchean,,,,,,[FIRST LIFE FORMS],
3.2Bya,,,,,,Paleoarchean,,,,,,,
2.8Bya,,,,,,Mesoarchean,,,,,,,
2.5Bya,,,,,,Neoarchean,,,,,,,
1.6Bya,,,,,Proterozoic,Paleoproterozoic,,,,,,,
1Bya,,,,,,Mesoproterozoan,,,,,,,
0.538Bya,,,,,,Neoproterozoan,,,,,,[ANIMALS EVOLVE],
485.4Mya,,,,,Phanerozoic,Paleozoic,Cambrian,,,,,,
443.8Mya,,,,,,,Ordovician,,,,,,
419.2Mya,,,,,,,Silurian,,,,,,
358.9Mya,,,,,,,Devonian,,,,,,
298.9Mya,,,,,,,Carboniferous,,,,,,
251.9Mya,,,,,,,Permian,,,,,,
201.4Mya,,,,,,Mesozoic,Triassic,,,,,,
145Mya,,,,,,,Jurassic,,,,,,
66Mya,,,,,,,Cretaceous,,,,,,
56Mya,,,,,,Cenozoic,Paleogene,Paleocene,,,,[AGE OF MAMMALS],
33.9Mya,,,,,,,,Eocene,,,,,
23.03Mya,,,,,,,,Oligocene,,,,,
5.333Mya,,,,,,,Neogene,Miocene,,,,[HOMININS DIVERGE],
2.58Mya,,,,,,,,Pliocene,,Stone Age,Paleolithic,,
1.8Mya,3.3Mya - 300Kya,,,,,,Quarternary,Pleistocene,Gelasian,,(Lower Paleo-),,
774Kya,,,,,,,,,Calabrian,,,,
129Kya,50Kya,,,,,,,,Chibanian,,(Middle Paleo-),[FIRST HOMO SAPIENS],
11.7Kya,12Kya,,,,,,,,Upper Pleistocene,,(Upper Paleo-),,
8.2Kya,5Kya,,,,,,,Holocene,Greenlandian,,Mesolithic,,
4.2Kya,2Kya,,,,,,,,Northgrippian,,Neolithic,[AGRICULTURAL REVOLUTION],
,1200BC,,,,,,,,,Bronze Age,,[WRITING INVENTED],
,550BC,,,,,,,,Meghalayan,Iron Age,,,
,250AD,,,,,,,,,Antiquity,Classical,,
,500AD,,,,,,,,,,Late,,
,1000AD,,,,,,,,,Middle Ages,Early,,
,1300AD,,,,,,,,,,High,,
,1500AD,,,,,,,,,,Late,,
,1600AD,,,,,,,,,Renaissance,,,
,1800AD,,,,,,,,,Modern,Early,[STEAM ENGINE INVENTED],
,TODAY,,,,,,,,,,Contemporary,[INTERNET INVENTED],
,,,,,,,,,,,,[CHATGPT RELEASED],
,,T            O            D            A           Y,,,,,,,,,,,
